id,llm_correct,assessor_correct
342,1,0.35
451,0,1.0
418,1,0.02
253,1,0.59
310,1,0.08
145,1,0.07
212,1,0.23
397,1,0.05
257,1,0.03
527,1,0.38
534,1,0.03
283,1,0.45
455,0,0.0
109,1,0.17
225,1,0.13
79,0,0.01
222,1,0.01
110,1,0.02
471,1,0.08
364,1,0.56
384,1,0.12
29,1,0.41
104,1,0.26
65,1,0.28
523,0,0.3
390,1,0.0
261,1,0.58
319,1,0.57
467,0,0.0
175,1,0.08
519,1,0.52
510,1,0.02
302,1,0.56
411,1,0.36
317,1,0.09
305,0,1.0
84,1,0.0
194,1,0.15
53,0,0.08
433,1,0.34
335,1,0.0
166,1,0.17
478,1,0.0
48,1,0.06
330,1,0.31
296,0,0.03
299,1,0.43
340,1,0.12
450,1,0.46
97,0,0.03
415,1,0.25
275,1,0.04
454,1,0.05
156,0,0.02
133,1,0.01
157,1,0.2
357,1,0.19
280,1,0.17
484,1,0.27
509,1,0.23
181,1,0.26
174,1,0.04
9,1,0.02
113,1,0.02
466,0,0.01
386,1,0.19
163,0,0.13
164,1,0.38
173,0,0.03
292,1,0.31
277,0,0.02
6,1,0.08
306,1,0.15
532,1,0.03
108,1,0.36
358,1,0.07
387,1,0.01
404,1,0.0
19,1,0.08
490,1,0.31
180,0,0.0
23,0,0.05
326,1,0.03
285,1,0.02
432,1,0.16
241,1,0.0
16,1,0.17
441,1,0.14
371,1,0.12
123,1,0.08
136,1,0.04
320,1,0.0
351,1,0.1
24,1,0.1
276,1,0.01
421,1,0.0
398,0,0.01
530,1,0.0
96,1,0.12
366,1,0.48
408,1,0.0
436,1,0.0
516,1,0.27
252,1,0.05
345,1,0.05
267,1,0.04
189,1,0.23
135,1,0.0
372,1,0.12
55,1,0.19
505,1,0.0
28,1,0.22
515,1,0.06
215,0,0.05
339,0,0.01
196,1,0.06
76,1,0.0
396,1,0.02
188,0,0.18
348,1,0.01
38,1,0.22
0,1,0.0
472,0,0.16
324,1,0.23
508,1,0.07
22,1,0.08
424,1,0.22
100,1,0.07
513,1,0.05
10,1,0.06
314,1,0.04
217,1,0.15
446,1,0.0
427,1,0.04
143,1,0.17
328,1,0.22
228,1,0.05
388,1,0.28
120,1,0.1
170,1,0.03
131,1,0.14
92,1,0.05
176,1,0.11
125,1,0.07
512,1,0.0
7,0,0.0
268,1,0.07
25,1,0.18
439,1,0.24
287,1,0.09
279,1,0.07
522,1,0.0
12,0,0.66
200,1,0.08
445,1,0.05
315,1,0.39
282,1,0.28
82,1,0.09
193,1,0.01
103,0,0.13
496,1,0.05
413,0,0.0
535,1,0.07
407,1,0.0
14,0,0.05
121,1,0.04
249,0,0.14
540,1,0.18
142,1,0.2
506,1,0.0
218,1,0.32
416,1,0.0
392,1,0.07
264,0,0.29
70,1,0.19
453,0,0.06
165,1,0.2
395,1,0.21
440,0,0.03
378,1,0.26
353,1,0.0
347,1,0.14
101,1,0.08
195,1,0.23
102,1,0.17
71,1,0.13
236,1,0.01
57,1,0.03
374,1,0.15
62,1,0.33
46,1,0.17
311,0,0.0
271,1,0.66
8,1,0.0
344,1,0.2
45,1,0.5
138,1,0.0
265,1,0.09
168,1,0.06
481,1,0.0
127,1,0.05
87,1,0.16
126,1,0.54
419,1,0.05
72,1,0.04
361,1,0.16
216,1,0.18
172,1,0.09
186,1,0.01
202,1,0.19
495,1,0.0
161,0,1.0
235,1,0.21
20,1,0.14
116,1,0.24
461,0,0.14
130,1,0.47
334,1,0.09
363,1,0.1
27,1,0.24
185,0,0.0
207,1,0.01
36,1,0.1
190,1,0.04
191,1,0.07
294,1,0.0
526,1,0.41
31,1,0.2
370,0,0.24
423,0,0.03
41,0,0.0
269,1,0.3
325,0,0.06
153,0,0.02
152,1,0.09
35,1,0.2
272,1,0.29
291,1,0.36
487,0,0.0
155,1,0.08
234,1,0.31
498,1,0.3
273,1,0.0
425,1,0.15
341,0,0.13
524,1,0.01
329,0,0.04
521,1,0.21
278,1,0.08
179,1,0.31
376,1,0.19
380,1,0.0
447,1,0.37
242,1,0.42
159,1,0.09
258,1,0.1
39,1,0.09
33,0,0.15
368,1,0.1
525,1,0.04
240,1,0.0
177,1,0.0
226,1,0.34
442,1,0.08
298,1,0.02
124,1,0.02
379,1,0.21
536,1,0.05
205,1,0.29
83,0,0.0
293,1,0.06
297,1,0.04
503,1,0.09
147,0,0.01
17,1,0.2
284,1,0.0
303,1,0.12
286,0,0.0
89,0,0.0
308,1,0.2
456,1,0.45
270,1,0.05
369,1,0.3
266,1,0.09
21,1,0.11
511,1,0.0
444,0,0.02
254,1,0.03
50,1,0.1
262,1,0.14
300,1,0.03
248,1,0.02
93,1,0.03
80,1,0.3
232,0,0.12
435,1,0.16
246,1,0.25
256,1,0.02
151,0,0.0
134,1,0.15
58,1,0.03
224,1,0.01
255,1,0.08
95,1,0.12
209,1,0.14
85,1,0.0
290,1,0.03
68,1,0.0
60,1,0.11
201,1,0.03
475,1,0.01
313,1,0.07
107,1,0.08
359,1,0.0
122,0,0.16
417,1,0.14
230,1,0.24
295,1,0.22
187,1,0.13
489,1,0.06
429,1,0.41
393,1,0.0
307,1,0.1
3,1,0.19
482,1,0.0
49,1,0.0
355,1,0.26
382,1,0.0
40,1,0.0
465,1,0.01
477,0,0.12
410,1,0.14
323,1,0.14
405,0,0.04
63,1,0.07
150,1,0.16
132,1,0.06
59,0,0.0
312,1,0.14
208,1,0.23
105,1,0.04
77,0,0.0
531,1,0.46
403,1,0.09
492,1,0.0
61,0,0.08
457,1,0.0
474,1,0.29
214,1,0.07
213,1,0.22
34,1,0.01
373,0,0.07
352,1,0.04
476,0,1.0
349,1,0.14
139,1,0.24
51,1,0.27
75,1,0.28
486,1,0.39
112,1,0.0
365,1,0.08
4,1,0.23
469,1,0.09
399,1,0.02
244,0,0.26
94,1,0.11
377,1,0.05
426,1,0.06
115,0,0.08
420,1,0.01
99,1,0.08
56,1,0.33
30,1,0.22
318,1,0.04
497,1,0.33
537,1,0.0
360,1,0.36
539,0,0.06
304,1,0.21
507,1,0.19
141,1,0.38
517,0,0.16
520,1,0.0
448,1,0.0
169,1,0.19
91,1,0.13
47,1,0.23
343,1,0.09
289,1,0.22
90,0,0.26
381,1,0.01
220,0,0.0
385,1,0.09
26,1,0.33
144,1,0.08
460,1,0.03
204,0,0.1
106,1,0.39
86,1,0.21
533,1,0.0
367,1,0.13
488,1,0.1
428,1,0.0
74,0,0.11
137,1,0.01
437,0,0.33
309,1,0.62
260,1,0.74
2,1,0.21
337,1,0.25
199,1,0.0
64,1,0.05
538,1,0.05
356,1,0.0
32,1,0.38
198,0,0.29
178,1,0.13
529,1,0.06
485,1,0.02
463,0,0.11
43,1,0.39
192,1,0.63
119,0,0.07
128,1,0.02
501,1,0.05
518,1,0.03
88,1,0.0
221,1,0.09
171,1,0.28
233,1,0.2
223,1,0.27
462,1,0.36
362,1,0.25
