id,llm_correct,assessor_correct
5916,1,0.4
9000,1,0.41
567,1,0.36
8695,1,0.22
6076,1,0.1
1834,1,0.33
4754,0,0.24
3775,1,0.42
2721,0,0.1
4071,1,0.22
5982,1,0.43
9017,1,0.28
7139,0,0.18
4800,1,0.43
8867,1,0.28
6357,1,0.35
4592,1,0.54
7473,0,0.11
7103,1,0.31
11301,1,0.48
3516,0,0.31
1507,1,0.32
4970,1,0.52
8127,1,0.33
1214,0,0.72
2158,1,0.44
10895,0,0.1
4107,0,0.35
11436,1,0.44
2820,1,0.25
3676,0,0.35
8798,1,0.16
9120,1,0.13
5176,1,0.51
10775,1,0.41
4690,1,0.32
11223,1,0.0
6317,1,0.56
88,1,0.22
6625,1,0.0
5409,1,0.43
6332,1,0.37
8044,1,0.53
8378,1,0.33
278,1,0.23
352,1,0.48
8485,0,0.1
7838,1,0.25
8311,1,0.39
10228,1,0.22
11545,1,0.21
49,1,0.43
1148,1,0.22
7215,1,0.51
8507,1,0.3
3106,1,0.38
9439,1,0.43
2045,1,0.4
8279,1,0.14
11227,0,0.86
8495,1,0.26
2791,1,0.0
4804,1,0.21
2185,1,0.28
4827,0,0.05
18,1,0.12
7969,0,0.47
3157,0,0.08
8646,1,0.42
2295,1,0.82
1599,0,0.52
4233,1,0.1
2048,1,0.37
4858,1,0.71
9436,0,1.0
11639,1,0.29
6777,1,0.27
4503,1,0.18
11598,1,0.46
4312,1,0.17
7891,1,0.36
3978,1,0.24
2437,0,0.1
220,1,0.2
10101,1,0.41
6776,1,0.7
3428,0,0.64
10991,1,0.16
1501,1,0.19
10160,1,0.2
6678,0,0.04
1775,1,0.33
6175,1,0.17
7322,1,0.48
2231,1,0.73
1553,1,0.27
11940,0,0.61
10050,1,0.62
3255,1,0.31
10862,1,0.37
8076,1,0.4
7545,1,0.23
3056,1,0.45
1419,1,0.42
7581,1,0.36
8940,1,0.07
6346,1,0.0
10347,1,0.23
2339,1,0.09
6035,0,0.17
11934,1,0.11
3587,0,0.2
370,1,0.32
8501,1,0.22
8718,1,0.35
3539,1,0.38
11216,1,0.25
2258,1,0.09
11526,1,0.12
8928,1,0.66
11626,0,0.24
6669,1,0.25
5476,1,0.26
1843,0,0.27
4066,1,0.18
2335,1,0.29
10325,1,0.48
434,1,0.07
2617,1,0.33
6963,1,0.49
9299,1,0.0
372,1,0.27
7723,1,0.61
2276,1,0.41
6641,1,0.39
2420,1,0.31
6354,1,0.31
7089,1,0.22
9638,1,0.23
230,1,0.12
10819,1,0.43
3555,1,0.0
10112,1,0.14
11850,1,0.15
214,1,0.25
5304,1,0.23
4221,0,0.26
8712,1,0.51
417,1,0.06
3844,1,0.27
1771,1,0.29
2815,0,0.03
781,1,0.62
7186,0,0.16
5454,1,0.19
9714,1,0.39
6314,1,0.26
4367,0,1.0
8170,1,0.38
7520,1,0.57
128,1,0.28
97,1,0.11
5746,1,0.32
2142,1,0.39
7478,1,0.2
5411,1,0.2
3562,1,0.0
10927,1,0.25
3870,1,0.3
6377,1,0.0
1210,1,0.56
8804,1,0.26
11752,1,0.27
7393,1,0.43
7523,1,0.39
8030,1,0.25
5100,0,0.17
4059,1,0.17
1127,1,0.32
9425,1,0.24
10700,1,0.23
11215,1,0.23
1216,0,0.13
11667,0,0.07
4084,1,0.3
2118,0,0.05
8304,1,0.19
8673,1,0.26
7209,1,0.44
11768,0,0.38
6783,1,0.35
8542,0,0.27
6651,0,0.09
3329,1,0.33
4291,1,0.12
2908,1,0.38
4834,1,0.41
11732,0,0.25
2520,0,0.1
4908,0,0.24
5706,0,0.16
9244,1,0.49
5345,0,0.47
9430,1,0.17
8621,0,0.22
9554,0,0.9
2771,1,0.19
8728,1,0.33
2663,1,0.38
5881,0,0.56
11077,0,0.27
1251,0,0.1
6892,1,0.26
4463,1,0.22
10070,0,0.3
9512,1,0.41
1585,1,0.52
11330,1,0.36
308,1,0.14
2282,1,0.61
3684,1,0.43
3074,1,0.36
11214,1,0.15
8168,1,0.32
4314,1,0.58
11040,1,0.01
8583,0,1.0
2786,0,0.03
8901,1,0.44
4265,1,0.1
3887,1,0.27
7828,1,0.41
5031,1,0.75
8773,1,0.21
3893,1,0.21
4595,1,0.48
2563,0,0.25
1944,1,0.58
4097,1,0.19
10641,1,0.41
4676,1,0.36
10780,0,0.31
7361,0,0.74
6274,1,0.16
9241,1,0.46
5850,1,0.59
904,1,0.27
8289,1,0.0
3609,1,0.06
5621,1,0.59
4645,1,0.53
6603,1,0.47
424,1,0.89
10034,0,1.0
11622,1,0.32
2396,1,0.41
11586,0,0.23
3349,1,0.35
3328,1,0.67
1228,1,0.25
7643,1,0.58
1434,1,0.38
8726,1,0.45
10365,0,1.0
5615,1,0.36
8161,1,0.47
10748,1,0.12
9478,1,0.21
3811,1,0.46
11524,1,0.36
8849,0,1.0
2631,1,0.23
2878,1,0.38
6041,0,0.15
3564,1,0.23
8530,1,0.18
7276,1,0.07
6650,1,0.46
1503,1,0.26
8939,1,0.14
6091,0,0.43
3406,1,0.41
5577,1,0.38
2628,1,0.41
6488,1,0.17
6327,1,0.13
5522,0,0.05
8737,1,0.14
9692,1,0.32
321,1,0.4
7641,1,0.26
10049,1,0.27
9306,1,0.3
7030,0,0.1
4859,1,0.26
7920,1,0.21
2672,1,0.54
2546,1,0.51
6168,1,0.28
11866,0,0.12
7599,1,0.27
3974,0,0.25
10646,0,0.08
536,1,0.25
4447,1,0.06
10566,0,0.08
4092,1,0.0
3120,1,0.21
11435,1,0.33
3573,1,0.2
2200,0,0.38
10817,1,0.59
1388,1,0.17
3812,1,0.26
7324,1,0.21
3695,0,0.23
1983,1,0.64
16,0,0.43
3829,1,0.23
4070,1,0.0
2571,1,0.16
978,0,0.52
1941,1,0.53
11220,0,0.38
2299,1,0.34
5580,1,0.2
2402,0,0.25
2053,1,0.27
1808,0,0.36
2707,0,0.31
9499,1,0.0
5935,1,0.48
2047,1,0.49
4068,1,0.0
3322,1,0.49
9991,0,0.35
1143,1,0.16
10843,0,0.2
2760,1,0.45
2854,1,0.36
1519,1,0.28
4951,1,0.47
9023,1,0.0
11913,0,0.35
6886,1,0.55
343,1,0.32
10216,0,0.13
776,1,0.38
7743,1,0.2
5798,1,0.2
412,0,0.83
5226,1,0.21
7399,1,0.38
322,1,0.07
3218,1,0.32
2636,1,0.59
6171,1,0.27
2193,1,0.38
2427,0,0.01
6059,1,0.32
5573,1,0.25
10507,1,0.36
3373,1,0.23
8690,1,0.49
399,0,0.48
8528,1,0.17
7212,1,0.33
4318,1,0.19
4002,0,0.06
2292,0,0.0
2894,1,0.12
3760,1,0.7
8348,0,0.19
6675,1,0.51
2260,1,0.45
9586,1,0.35
11493,0,0.19
11654,0,0.28
4568,1,0.38
825,1,0.54
3335,1,0.46
4086,1,0.0
2216,1,0.0
7686,0,0.05
11171,0,0.34
9530,0,0.29
11042,0,0.19
1025,1,0.37
7019,1,0.21
6634,1,0.15
4062,1,0.0
8116,1,0.26
11574,1,0.19
6392,1,0.29
8830,0,0.18
457,1,0.42
3674,0,0.31
4354,0,1.0
10039,1,0.29
6866,1,0.44
3610,1,0.21
8399,1,0.39
4228,0,0.46
3768,1,0.32
3582,0,1.0
3958,0,0.29
2565,1,0.46
2715,1,0.0
9817,1,0.25
7421,0,0.38
7242,0,0.13
7224,1,0.57
2882,0,0.49
11014,1,0.39
7265,1,0.49
9132,1,0.56
1893,1,0.18
10901,1,0.42
5710,1,0.06
5323,1,0.0
1201,1,0.28
3187,1,0.58
4553,0,0.43
4522,1,0.1
2778,1,0.24
7046,1,0.37
9011,0,0.96
579,1,0.25
52,1,0.23
4268,1,0.28
3980,1,0.24
11058,0,0.07
8310,1,0.36
3354,1,0.24
5210,1,0.23
4113,0,1.0
11496,0,0.45
7390,1,0.47
9672,1,0.37
6630,1,0.09
6578,0,0.33
2116,1,0.34
11505,1,0.27
4412,1,0.61
1152,0,0.4
5700,1,0.33
1608,0,0.88
4420,1,0.0
11039,1,0.39
9947,1,0.33
10400,1,0.0
4283,1,0.36
11759,1,0.25
7735,1,0.39
11937,1,0.23
2725,1,0.54
5533,0,0.31
6870,1,0.26
10634,1,0.3
4226,0,1.0
9026,1,0.33
7373,1,0.25
1068,0,0.16
2837,1,0.42
10506,1,0.24
11475,0,0.05
7451,0,0.03
4178,0,0.18
11530,1,0.44
3382,1,0.12
5729,1,0.19
6938,1,0.21
5262,1,0.12
3163,1,0.0
8460,1,0.49
9689,1,0.42
11006,0,0.13
9242,1,0.3
5174,1,0.0
1502,1,0.14
2501,1,0.64
378,1,0.43
6835,1,0.15
9835,0,0.17
1462,1,0.25
9429,1,0.0
11464,0,0.36
3395,1,0.3
9913,1,0.21
6089,1,0.12
8828,1,0.24
1729,0,0.43
5848,1,0.23
3734,1,0.0
7915,0,0.19
4979,1,0.28
5839,1,0.45
2783,1,0.31
10318,1,0.4
3480,0,1.0
5675,1,0.41
8093,1,0.31
2513,1,0.51
10156,0,0.16
4935,1,0.45
4494,1,0.3
11868,0,0.12
185,1,0.38
3754,0,0.27
10284,1,0.56
1028,1,0.15
6345,1,0.52
856,1,0.17
151,1,0.17
11322,0,0.48
10472,1,0.41
1714,0,0.26
9106,0,0.43
8980,0,0.25
8390,1,0.27
1079,1,0.46
6139,1,0.55
5505,1,0.48
8412,1,0.16
6438,0,0.38
11549,1,0.15
7217,0,1.0
7516,1,0.39
7488,1,0.3
1958,0,0.07
9117,0,0.14
7623,0,0.14
11240,1,0.16
834,1,0.0
9008,1,0.22
7656,1,0.49
6417,1,0.38
1935,1,0.49
10660,1,0.33
11594,0,0.28
10779,1,0.21
809,1,0.25
9388,0,0.3
158,1,0.22
149,1,0.07
7522,1,0.0
4260,1,0.17
8573,1,0.3
4158,1,0.0
10709,0,0.19
2247,1,0.5
4497,1,0.11
9518,1,0.18
10615,1,0.5
3432,1,0.51
1269,0,0.36
8214,1,0.09
3484,1,0.42
10040,1,0.0
1914,0,0.33
4275,0,1.0
7259,1,0.43
6136,0,0.23
1988,1,0.37
5041,1,0.36
1404,1,0.59
8795,1,0.35
8451,0,0.46
4693,0,0.3
10164,1,0.15
4469,1,0.22
7471,1,0.39
11127,0,0.18
2919,1,0.61
618,1,0.35
598,1,0.11
6639,1,0.12
4024,1,0.17
2579,1,0.39
10551,1,0.31
7654,1,0.51
5487,1,0.36
10653,1,0.29
3618,1,0.23
2955,1,0.42
3048,1,0.47
4801,1,0.44
4590,1,0.37
2784,1,0.32
11991,1,0.36
7742,1,0.25
592,0,0.63
11062,1,0.23
6017,1,0.55
2106,0,0.07
5920,1,0.33
9476,1,0.13
11741,0,0.1
63,0,0.11
4551,0,0.63
10974,0,0.32
251,1,0.13
6301,0,0.31
7504,0,0.05
7054,1,0.31
7780,1,0.14
10584,1,0.24
5671,1,0.4
7151,1,0.35
8872,1,0.28
485,1,0.48
2587,1,0.43
5080,0,0.3
9750,1,0.46
6177,1,0.82
7775,1,0.21
5885,0,0.3
8911,1,0.32
10676,1,0.27
2112,1,0.31
1357,1,0.44
8547,1,0.54
3953,1,0.23
9971,1,0.42
1252,0,0.9
6531,1,0.3
6114,1,0.26
1516,0,0.46
1884,1,0.36
3572,1,0.0
10818,0,0.01
6918,0,0.16
9066,1,0.6
6949,1,0.36
9630,1,0.32
5365,1,0.25
5766,0,0.85
10224,1,0.35
8622,1,0.26
9834,0,0.12
162,1,0.07
7580,0,0.15
3415,1,0.32
637,1,0.1
853,0,0.56
5654,1,0.18
4587,0,0.31
8636,1,0.12
1095,0,0.72
6611,1,0.38
2032,1,0.0
11861,1,0.44
9445,0,0.18
7506,1,0.0
6323,1,0.39
6979,1,0.27
10724,1,0.2
8247,1,0.11
3716,0,0.11
8874,1,0.17
6287,1,0.15
6551,1,0.29
6572,1,0.32
8366,1,0.41
5164,0,0.08
3446,1,0.29
1600,0,0.46
2914,1,0.42
5939,1,0.16
1624,1,0.26
11339,1,0.15
6242,0,0.15
5738,0,0.18
4141,1,0.32
1805,1,0.38
6954,1,0.6
9548,0,0.05
1363,1,0.21
7681,0,0.06
9467,0,0.61
10708,1,0.24
1544,0,0.13
6935,1,0.33
10461,1,0.43
10285,1,0.56
4662,1,0.58
8934,1,0.65
9169,1,0.0
3766,1,0.31
10580,0,0.15
10850,1,0.14
2148,1,0.0
983,0,0.39
8841,1,0.22
11440,0,0.44
3934,1,0.59
3356,1,0.36
9124,0,0.4
4256,1,0.19
9482,0,0.26
4897,1,0.47
325,1,0.12
9039,0,0.4
239,0,0.11
4405,1,0.42
10874,1,0.09
2864,1,0.43
9880,0,0.15
3591,0,0.27
2042,1,0.34
7363,1,0.3
7571,0,0.03
11200,0,0.17
9047,1,0.38
10080,1,0.46
7043,0,0.01
9579,1,0.37
9785,0,0.25
6099,1,0.32
1722,1,0.37
9985,1,0.36
10951,1,0.5
8004,1,0.22
3206,1,0.36
7600,1,0.24
11282,0,0.36
11116,0,0.26
11406,0,0.34
1548,0,0.48
10394,1,0.79
7497,0,0.48
11232,0,0.11
7153,1,0.73
7701,1,0.36
1966,1,0.5
5658,1,0.4
5612,1,0.52
8089,1,0.32
3541,0,0.76
5275,1,0.32
11979,1,0.4
7567,1,0.33
11926,0,0.31
3433,0,0.13
10943,1,0.24
3916,0,0.24
11735,1,0.14
1942,1,0.49
9369,0,0.45
787,1,0.29
11354,0,0.08
9919,1,0.37
4223,1,0.37
3769,0,0.33
7266,1,0.33
9705,1,0.25
7619,1,0.39
10024,0,1.0
4346,1,0.32
6084,1,0.12
4212,1,0.48
769,1,0.3
47,1,0.59
5872,1,0.59
4937,0,0.02
2080,1,0.16
8504,1,0.35
8020,0,0.05
5909,1,0.3
3288,1,0.38
3278,1,0.53
9400,1,0.26
5930,1,0.25
7570,1,0.32
2061,0,0.23
7631,1,0.33
10548,1,0.29
6721,1,0.3
5763,1,0.47
4527,0,1.0
2929,1,0.42
4864,1,0.35
2002,1,0.49
9623,0,0.19
2570,0,0.17
9591,1,0.07
9599,1,0.33
3346,0,0.18
10582,1,0.27
9937,1,0.15
6755,1,0.13
9001,1,0.41
1153,1,0.69
9730,1,0.47
7700,0,0.16
852,1,0.66
5030,1,0.41
3263,1,0.38
1156,0,0.28
7703,1,0.0
1244,1,0.49
355,1,0.41
11841,1,0.23
136,1,0.21
640,1,0.0
3796,1,0.13
2122,1,0.33
4526,0,0.35
4338,1,0.0
3874,1,0.13
10994,0,0.1
9345,1,0.4
363,1,0.54
674,1,0.32
7628,1,0.33
5336,1,0.33
2153,1,0.52
1003,1,0.59
1894,1,0.3
926,0,0.01
10527,1,0.55
4833,1,0.23
11627,0,0.43
10219,1,0.19
7268,1,0.68
10795,0,0.29
9448,1,0.45
6371,1,0.27
5552,1,0.42
9419,1,0.14
4684,1,0.55
801,0,0.36
5942,1,0.63
10985,1,0.0
422,1,0.35
1459,1,0.28
4250,1,0.28
6339,0,0.51
9792,1,0.26
2215,1,0.38
10067,1,0.21
1047,0,0.46
1508,1,0.25
6714,0,1.0
11645,0,0.35
9280,1,0.08
5918,1,0.19
11613,1,0.24
4722,1,0.33
9135,1,0.15
2333,1,0.4
3409,1,0.76
3507,1,0.34
8110,1,0.24
3548,1,0.07
8180,1,0.45
