id,subset,llm_correct,assessor_correct
165,math_algebra_hard,0,0.06
106,math_algebra_hard,0,0.01
204,math_algebra_hard,0,0.02
235,math_algebra_hard,0,0.0
249,math_algebra_hard,0,0.09
279,math_algebra_hard,0,0.08
8,math_algebra_hard,0,0.05
100,math_algebra_hard,0,0.17
88,math_algebra_hard,0,0.04
208,math_algebra_hard,0,0.13
74,math_algebra_hard,0,0.32
138,math_algebra_hard,0,0.02
305,math_algebra_hard,0,0.05
289,math_algebra_hard,0,0.02
189,math_algebra_hard,0,0.03
306,math_algebra_hard,0,0.02
120,math_algebra_hard,0,0.07
72,math_algebra_hard,0,0.09
117,math_algebra_hard,0,0.02
261,math_algebra_hard,0,0.06
71,math_algebra_hard,0,1.0
35,math_algebra_hard,0,0.07
34,math_algebra_hard,0,0.07
6,math_algebra_hard,0,0.19
192,math_algebra_hard,0,0.1
244,math_algebra_hard,0,0.18
129,math_algebra_hard,0,0.04
20,math_algebra_hard,0,0.0
150,math_algebra_hard,0,0.05
116,math_algebra_hard,0,0.03
275,math_algebra_hard,0,0.08
142,math_algebra_hard,0,0.03
130,math_algebra_hard,0,0.11
156,math_algebra_hard,0,0.03
247,math_algebra_hard,0,0.08
174,math_algebra_hard,0,0.14
285,math_algebra_hard,0,0.0
278,math_algebra_hard,0,0.42
36,math_algebra_hard,0,0.03
190,math_algebra_hard,0,0.0
217,math_algebra_hard,0,0.0
265,math_algebra_hard,0,0.03
296,math_algebra_hard,0,0.03
218,math_algebra_hard,0,0.02
14,math_algebra_hard,0,0.04
103,math_algebra_hard,0,0.1
273,math_algebra_hard,0,0.13
181,math_algebra_hard,0,0.15
222,math_algebra_hard,0,0.81
70,math_algebra_hard,0,0.1
4,math_algebra_hard,0,0.03
126,math_algebra_hard,0,0.14
239,math_algebra_hard,0,0.1
11,math_algebra_hard,0,0.0
77,math_algebra_hard,0,0.35
152,math_algebra_hard,0,0.06
27,math_algebra_hard,0,0.01
64,math_algebra_hard,0,0.09
94,math_algebra_hard,0,0.06
81,math_algebra_hard,0,0.04
7,math_algebra_hard,0,0.08
295,math_algebra_hard,0,0.05
109,math_algebra_hard,0,0.08
83,math_algebra_hard,0,0.02
141,math_algebra_hard,0,0.02
75,math_algebra_hard,0,0.18
33,math_algebra_hard,0,0.06
12,math_algebra_hard,0,0.0
242,math_algebra_hard,0,0.13
188,math_algebra_hard,0,0.03
91,math_algebra_hard,0,0.01
51,math_algebra_hard,0,0.02
62,math_algebra_hard,0,0.07
67,math_algebra_hard,0,0.0
125,math_algebra_hard,0,0.15
293,math_algebra_hard,0,0.05
226,math_algebra_hard,0,0.11
63,math_algebra_hard,0,0.23
133,math_algebra_hard,0,0.04
24,math_algebra_hard,0,0.18
234,math_algebra_hard,0,0.04
112,math_algebra_hard,0,0.07
302,math_algebra_hard,0,0.06
53,math_algebra_hard,0,0.09
57,math_algebra_hard,0,0.03
113,math_algebra_hard,0,0.06
176,math_algebra_hard,0,0.14
203,math_algebra_hard,0,0.38
46,math_algebra_hard,0,0.13
5,math_algebra_hard,0,0.08
286,math_algebra_hard,0,0.07
177,math_algebra_hard,0,0.23
270,math_algebra_hard,0,0.02
121,math_algebra_hard,0,0.78
41,math_algebra_hard,0,0.06
169,math_algebra_hard,0,0.11
13,math_algebra_hard,0,0.05
254,math_algebra_hard,0,0.05
50,math_algebra_hard,0,0.14
262,math_algebra_hard,0,0.04
300,math_algebra_hard,0,0.01
248,math_algebra_hard,0,0.03
304,math_algebra_hard,0,0.05
65,math_algebra_hard,0,0.0
80,math_algebra_hard,0,0.11
153,math_algebra_hard,0,0.04
246,math_algebra_hard,0,0.08
85,math_algebra_hard,0,0.07
180,math_algebra_hard,0,0.1
134,math_algebra_hard,0,0.13
58,math_algebra_hard,0,0.02
224,math_algebra_hard,0,0.0
284,math_algebra_hard,0,0.25
124,math_algebra_hard,0,0.08
179,math_algebra_hard,0,0.14
185,math_algebra_hard,0,0.02
290,math_algebra_hard,0,0.02
68,math_algebra_hard,0,0.09
60,math_algebra_hard,0,0.11
69,math_algebra_hard,0,0.0
147,math_algebra_hard,0,0.08
73,math_algebra_hard,0,0.05
136,math_algebra_hard,0,0.12
267,math_algebra_hard,0,0.04
122,math_algebra_hard,0,0.03
175,math_algebra_hard,0,0.02
230,math_algebra_hard,0,0.01
17,math_algebra_hard,0,0.14
216,math_algebra_hard,0,0.12
297,math_algebra_hard,0,0.09
209,math_algebra_hard,0,0.11
32,math_algebra_hard,0,0.28
16,math_algebra_hard,0,0.01
292,math_algebra_hard,0,0.0
259,math_algebra_hard,0,0.03
276,math_algebra_hard,0,0.0
30,math_algebra_hard,0,0.16
258,math_algebra_hard,0,0.05
257,math_algebra_hard,0,0.01
23,math_algebra_hard,0,0.0
232,math_algebra_hard,0,0.0
123,math_algebra_hard,0,0.0
110,math_algebra_hard,0,0.04
49,math_algebra_hard,0,0.12
211,math_algebra_hard,0,0.1
268,math_algebra_hard,0,0.0
243,math_algebra_hard,0,0.02
213,math_algebra_hard,0,0.09
93,math_algebra_hard,0,0.06
139,math_algebra_hard,0,0.1
102,math_algebra_hard,0,0.02
2,math_algebra_hard,0,0.04
54,math_algebra_hard,0,0.0
274,math_algebra_hard,0,0.02
245,math_algebra_hard,0,0.1
171,math_algebra_hard,0,0.0
52,math_algebra_hard,0,0.04
210,math_algebra_hard,0,0.04
135,math_algebra_hard,0,0.08
137,math_algebra_hard,0,0.03
131,math_algebra_hard,0,0.16
201,math_algebra_hard,0,0.11
207,math_algebra_hard,0,0.04
159,math_algebra_hard,0,0.09
240,math_algebra_hard,0,0.03
184,math_algebra_hard,0,0.11
105,math_algebra_hard,0,0.08
178,math_algebra_hard,0,0.05
97,math_algebra_hard,0,0.23
280,math_algebra_hard,0,0.03
